ID,Name,Category,Cuisine,Level,Lat,Lng
LPC-01,Scorched Smokehouse,Casual,Western BBQ,Ground,14.4462,120.9818
LPC-02,Classic Savory,Casual,Filipino-Chinese,Ground,14.4468,120.9823
LPC-03,Kyukyu Ramen 99,Fast Casual,Japanese,Ground,14.4465,120.9821
LPC-04,Bulalo World,Casual,Filipino,Ground,14.447,120.9825
LPC-05,Reyes Barbecue,Fast Casual,Filipino,Ground,14.4469,120.9824
LPC-06,Razon’s of Guagua,Casual,Filipino,Ground,14.4467,120.9822
LPC-07,King Sisig,Fast Casual,Filipino,Ground,14.4466,120.9821
LPC-08,BonChon Chicken,Fast Food,Korean-American,Ground,14.4471,120.9826
